beset - beset - beset;окружать, осаждать
bet - bet - bet;держать пари
bid - bid - bid;предлагать цену, велеть, просить
broadcast - broadcast - broadcast;вещать, распространять, транслировать
burst - burst - burst;лопаться, взрываться
cast - cast - cast;бросать, кидать, отбрасывать
cost - cost - cost;стоить
cut - cut - cut;резать, отрезать
fit - fit or fitted - fit or fitted;подходить, соответствовать
forecast - forecast - forecast;прогнозировать, предсказывать
hit - hit - hit;ударять
hurt - hurt - hurt;ранить, обижать
input - input - input;вводить (данные)
knit - knit or knitted - knit or knitted;вязать
let - let - let;позволять
put - put - put;класть, помещать
quit - quit - quit;покидать, бросать, увольняться
rid - rid - rid;освобождать, избавлять
set - set - set;устанавливать
shed - shed - shed;проливать
shut - shut - shut;закрывать
slit - slit - slit;разрезать
split - split - split;раскалывать, расщеплять
spread - spread - spread;распространяться, распространять
thrust - thrust - thrust;толкать
upset - upset - upset;огорчать
wed - wed - wed;вступать в брак
wet - wet - wet;мочить
awake - awoke - awoken;просыпаться, будить
bite - bit - bitten;кусать
break - broke - broken;ломать
choose - chose - chosen;выбирать
forget - forgot - forgotten;забывать
freeze - froze - frozen;замерзать, замораживать
interweave - interwove - interwoven;переплетать, вплетать
speak - spoke - spoken;говорить
steal - stole - stolen;воровать
wake - woke - woken;разбудить, просыпаться
weave - wove or weaved - woven or weaved;ткать
arise - arose - arisen;возникать, появляться
be - was,were - been;быть, являться
beat - beat - beaten;бить, побеждать
befall - befell - befallen;случаться
drive - drove - driven;водить машину, ехать
eat - ate - eaten;есть
fall - fell - fallen;падать
foresee - foresaw - foreseen;предвидеть
forgive - forgave - forgiven;прощать
forsake - forsook - forsaken;оставлять, покидать
give - gave - given;давать
mistake - mistook - mistaken;ошибаться
overtake - overtook - overtaken;догнать
prove - proved - proved or proven;доказывать
rise - rose - risen;подниматься, повышаться
see - saw - seen;видеть
shake - shook - shaken;трясти
shave - shaved - shaved or shaven;бриться
strive - strove - striven;стремиться, стараться
take - took - taken;брать
undertake - undertook - undertaken;предпринимать
blow - blew - blown;дуть, взрываться
draw - drew - drawn;рисовать, привлекать
fly - flew - flown;летать
grow - grew - grown;расти
know - knew - known;знать
throw - threw - thrown;кидать
withdraw - withdrew - withdrawn;снимать со счета, изымать
mow - mowed - mown;косить
saw - sawed - sawn or sawed;пилить
sew - sewed - sewn or sewed;шить
show - showed - shown;показывать
sow - sowed - sown;сеять
strew - strewed - strewn or strewed;посыпать, усеять
beseech - besought - besought;умолять, упрашивать
bring - brought - brought;приносить, приводить
buy - bought - bought;покупать
catch - caught - caught;ловить
fight - fought - fought;бороться, сражаться
may - might - might;мочь, иметь возможность
seek - sought - sought;искать, стремиться
teach - taught - taught;учить, преподавать
think - thought - thought;думать
creep - crept - crept;ползать
keep - kept - kept;хранить, держать
sleep - slept - slept;спать
sweep - swept - swept;мести, подметать
weep - wept - wept;плакать
behold - beheld - beheld;созерцать, видеть
can - could - could;мочь
foretell - foretold - foretold;предсказывать
hold - held - held;держать, занимать
sell - sold - sold;продавать
tell - told - told;рассказывать, сказать
withhold - withheld - withheld;удерживать
abide - abode - abode;соблюдать, придерживаться
bend - bent - bent;гнуть, изгибаться
bereave - bereft or bereaved - bereft or bereaved;лишать
bind - bound - bound;связывать
bleed - bled - bled;кровоточить, сочиться
breed - bred - bred;порождать, разводить
build - built - built;строить
burn - burnt - burnt;гореть, жечь
cling - clung - clung;цепляться, льнуть
deal - dealt - dealt;иметь дело, справляться
dig - dug - dug;копать
dream - dreamt - dreamt;мечтать, видеть сны
dwell - dwelt - dwelt;пребывать, обитать
feed - fed - fed;кормить
feel - felt - felt;чувствовать
find - found - found;находить
flee - fled - fled;сбегать
fling - flung - flung;кидать, бросать, швырнуть
get - got - got or gotten;получать, становиться, добираться, достать и так далее
gild - gilt or gilded - gilt or gilded;позолотить
grind - ground - ground;молоть, растереть
hang - hung - hung;висеть, вешать (вещь)
hang - hanged - hanged;казнить через повешение
have - had - had;иметь
inlay - inlaid - inlaid;инкрустировать
kneel - knelt or kneeled - knelt or kneeled;встать на колени,
lay - laid - laid;класть
lead - led - led;вести, сопровождать
lean - leant or leaned - leant or leaned;опираться, наклонять
leap - leapt or leaped - leapt or leaped;прыгать, скакать
learn - learnt or learned - learnt or learned;учиться, узнавать
leave - left - left;оставлять, покидать
lend - lent - lent;одалживать
light - lit or lighted - lit or lighted;зажигать
lose - lost - lost;терять, проигрывать
make - made - made;делать, заставлять
mean - meant - meant;значить
meet - met - met;встречать
mislay - mislaid - mislaid;класть не на место, затерять
pay - paid - paid;платить
plead - pled or pleaded - pled or pleaded;умолять
rebuild - rebuilt - rebuilt;перестраивать, восстанавливать
say - said - said;сказать
send - sent - sent;посылать, отправлять
shine - shone - shone;сиять
shine - shined - shined;придавать блеск
shoe - shod - shod;обувать, подковывать
shoot - shot - shot;стрелять
shrink - shrank - shrunk;сокращаться, сжиматься
sit - sat - sat;сидеть
slide - slid - slid;скользить
sling - slung - slung;швырять, метать
slink - slunk - slunk;красться
smell - smelt or smelled - smelt or smelled;пахнуть, понюхать
speed - sped or speeded - sped or speeded;спешить, ускорять
spell - spelt or spelled - spelt or spelled;писать, произносить слово по буквам
spend - spent - spent;тратить
spill - spilt - spilt;проливать
spin - spun - spun;вращаться, прясть
spit - spat - spat;плевать
stand - stood - stood;стоять
stick - stuck - stuck;придерживаться
sting - stung - stung;жалить
stink - stank - stunk;вонять
strike - struck - struck;бить, бастовать
string - strung - strung;связывать, нанизывать
swing - swung - swung;качать, размахивать
unbend - unbent - unbent;разгибаться
understand - understood - understood;понимать
win - won - won;победить
wind - wound - wound;заводить, наматывать
withstand - withstood - withstood;противостоять, выдерживать
wring - wrung - wrung;выжимать, скручивать
bear - bore - born;выносить, рожать, терпеть
shear - sheared - shorn;стричь, срезать
swear - swore - sworn;клясться, присягать, ругаться
tear - tore - torn;рвать
wear - wore - worn;носить
cleave - cleft - cloven;рассечь, раскалывать
forbid - forbade - forbidden;запрещать
hide - hid - hidden;прятать, прятаться
ride - rode - ridden;ехать верхом, ездить
smite - smote - smitten;ударять, поражать
stride - strode - stridden;шагать
swell - swelled - swollen or swelled;опухать, раздуваться, набухать
tread - trod - trodden;наступать, ступать
write - wrote - written;писать
become - became - become;становиться
begin - began - begun;начинать, начинаться
come - came - come;приходить
dare - durst - dared;сметь
dive - dove - dived;нырять
do - did - done;делать
drink - drank - drunk;пить
forego - forewent - foregone;отказываться, воздерживаться
go - went - gone;идти
hear - heard - heard;слышать
hew - hewed - hewn or hewed;рубить
lie - lay - lain;лежать
mishear - misheard - misheard;ослышаться
overcome - overcame - overcome;преодолевать
relay - relaid - relaid;перекладывать (железнодорожный путь и тому подобное)
relay - relayed - relayed;передавать (информацию и тому подобное)
ring - rang - rung;звонить, звенеть
run - ran - run;бежать
sing - sang - sung;петь
sink - sank - sunk;тонуть
slay - slew - slain;убивать
