tab;вкладка;Close the tab.;Закрой вкладку.
buffer;буфер;The clipboard is a buffer that some operating systems provide for short-term storage.;Буфер обмена - это буфер, который некоторые операционные системы предоставляют для краткосрочного хранения информации.
boot;запуск, загрузка;If anyone tries to boot the computer up without this disk, the whole thing fries.;Если попробовать загрузить компьютер без этого диска, все сгорит.
software;программное обеспечение;Update your software.;Обновите ваше программное обеспечение.
forward;пересылать;How to forward a message?;Как переслать письмо?
scroll bar;полоса прокрутки;Show the scroll bar on the right side of the window.;Показывать полосу прокрутки справа от окна.
internet service provider (ISP);интернет-провайдер;Internet service provider provides access to the Internet;Провайдер предоставляет доступ в интернет.
intellectual property;интеллектуальная собственность;They have intellectual property issues.;У них проблемы с интеллектуальной собственностью.
remote administration;удаленное администрирование;New remote administration plans introduced.;Представлены новые планы удаленного администрирования.
protect;защищать;I can protect you.;Я могу тебя защитить.
reply;ответ;Did you get a reply from them?;Ты получил от них ответ?
agile software development;гибкая разработка программного обеспечения;Scrum is an agile development methodology;Скрам - это методология гибкой разработки программного обеспечения.
install;устанавливать;Download and install the application.;Скачай и установи приложение.
query;запрос;Structured Query Language.;Язык структурированных запросов.
error;ошибка;When did the error occur?;При каких обстоятельствах возникла неисправность?
router;маршрутизатор, роутер;How can a router be used to limit network speed?;Как использовать маршрутизатор, чтобы ограничить скорость сети?
interface;интерфейс;The interface is very intuitive.;Интерфейс очень интуитивно понятен.
cloud services;облачные сервисы;What cloud services do they offer?;Какие облачные сервисы они предоставляет?
function;функция;As far as I know, there is no such function.;Насколько я знаю, такой функции нет.
mark as read;отметить как прочитанное;Mark a message as read.;Отметить сообщение, как прочитанное.
login;имя пользователя;What's your Skype login name?;Какой у тебя логин в Скайпе?
gamification;геймификация;So we applied these gamification techniques to learning.;Мы применили эти приёмы геймификации к обучению.
update;обновлять;Do you update your website often?;Ты часто обновляешь свой сайт?
help;помогать;Can I help you?;Я могу вам помочь?
gesture;жест;Control iPhone using a few simple gestures — tap, swipe and scroll.;Управляйте своим Айфоном используя несколько простых жестов - там, свайп и скролл.
deploy;развернуть (например релиз на сервер);Did you deploy it to the new server?;Ты развернул это на новый сервер?
unexpected;неожиданный;This is an unexpected surprise.;Какой неожиданный сюрприз.
confidential;конфиденциальный;This information is confidential.;Это конфиденциальная информация.
read only;предназначенный только для чтения;These files are read only.;Эти файлы только для чтения.
exception;исключение, ошибка;Unexpected exception has occured.;Произошла неожиданная ошибка.
breakthrough;достижение, прорыв;This is a real breakthrough.;Это настоящий прорыв.
database administrator;администратор базы данных;The database administrator would investigate how to make a temporary change to the database.;Администратор базы данных изучит вопрос о том, как можно внести временные изменения в базу данных.
search;искать;You can search the Internet using a keyword or phrase.;Вы можете искать в интернете по ключевому слову или фразе.
print;печатать;Can you print this document for me?;Ты можешь распечатать для меня этот документ?
usability;удобство использования;Usability is our priority.;Удобство использования наш приоритет.
upload;загрузжать файл с компьютера на сайт;How do we upload photos to your website?;Как нам загрузить фотографии на ваш сайт?
archive;архивировать;The documents are physically stored in archive ZIP files.;Документы физически хранятся в архивных файлах формата ZIP.
space bar;клавиша пробела;When you're ready to go, just press the space bar.;Когда будешь готова, просто нажми на пробел.
database;база данных;PostgreSQL is a popular relational database.;PostgreSQL — популярная реляционная база данных.
download;скачать;The download is complete.;Скачивание завершено.
icon;иконка;Double-click the icon.;Два раза щелкните на иконку.
property;свойство;File properties.;Свойства файлов.
browser;браузер;Which browser are you using?;Каким браузером ты пользуешься?
open-source software;программное обеспечение с открытым исходным кодом;Tatoeba is open source software.;Tatoeba - программное обеспечение с открытым исходным текстом.
encrypt;шифровать;This file is encrypted.;Этот файл зашифрован.
setup;установка;Please setup this program.;Пожалуйста установите эту программу.
developer;разработчик;Tom is a software developer.;Том — разработчик программного обеспечения.
generate;производить, генерировать;You should let a computer program generate passwords.;Ты должен позволить компьютерной программе сгенерировать пароли.
B2C (business-to-consumer);бизнес для клиента;B2B (business-to-business) is the exchange of products between businesses, rather than between businesses and consumers (B2C);B2B это обмен продуктами между бизнесами, а не бизнесами и потребителями (B2C).
file;файл;The file has been sent.;Файл отправлен.
programming language;язык программирования;JavaScript is a programming language.;JavaScript — язык программирования.
embed;встраивать;You can embed scripts in the Web page.;Вы можете встраивать скрипты в веб-страницы.
agree;cогласиться;I agree with you.;Я с тобой согласен.
close;закрыть;Close the tab.;Закрой вкладку.
find;найти;Where did you find it?;Где ты это нашёл?
hack;взломать;Someone's going to hack you.;Кто-нибудь тебя взломает.
input;ввод;Please input your PIN number.;Пожалуйста, введите свой ПИН-код.
bug;баг, ошибка;The bug has been corrected.;Баг был исправлен.
adapter;адаптер;Network adapter.;Сетевой адаптер.
debug;отлаживать;Most programmers hate debugging;Большинство программистов ненавидят отладку.
cut;вырезать;Cut and paste.;Вырежи и вставь.
add;добавить;Could you add me?;Не могли бы вы добавить меня?
cache;кэш;There are only two hard things in Computer Science: cache invalidation and naming things.;В программировании есть только две сложные вещи: инвалидация кэша и наименование сущностей.
sign in;зайти на сайт под своим логином;Once you're signed in, check your mail.;Как только вы войдете, проверьте почту.
manual;ручной, руководство;I don't need the user manual.;Мне не нужна инструкция.
cookie;файлы ку́ки;When you visit the website again, the cookie allows that site to recognize your browser.;При повторном посещении этого веб-сайта файл cookie позволяет сайту распознать ваш браузер.
rollback;откат;Failed to rollback.;Не удалось откатить.
edit;редактировать;How often do you edit your profile?;Как часто вы редактируете свой профиль?
compatible;совместимый;It's backwards compatible.;У него обратная совместимость.
press;нажимать;Could you press this button?;Ты не мог бы нажать на эту кнопку?
processing;обработка;Data processing.;Обработка данных.
knowledge;сведения;Your knowledge surprises me.;Твои знания удивляют меня.
viral;вирусный;The video went viral.;Видео стало вирусным.
hunch;предчувствие;I have a hunch that it will rain.;У меня такое предчувствие, что будет дождь.
scroll down;прокручивать вниз;Scroll down to the bottom of the page.;Прокрутите страницу вниз.
minimum viable product;минимально жизнеспособный продукт;A minimum viable product has just enough core features to effectively deploy the product, and no more.;Минимально жизнеспособный продукт имеет только те основные функции, которые достаточны для развёртывания продукта, и не более того.
kilobyte;килобайт;My first computer had only 128 kilobytes of memory!;В моём первом компьютере было только 128 килобайт памяти!
monitor;монитор;It's a cheap monitor.;Это дешёвый монитор.
data;данные;This data is incorrect.;Это неверные данные.
personal computer;персональный компьютер;I have to make money to buy a personal computer.;Мне нужно заработать деньги, чтобы купить персональный компьютер.
spreadsheet;электронная таблица;Accountants love spreadsheets.;Бухгалтеры любят электронные таблицы.
save;сохранять;Save file with another name.;Сохранить файл под другим именем.
driver;драйвер;Run the driver's installation program.;Запустите программу установки драйвера.
command;команда;Do you know how to use these command line tools?;Вы знаете, как использовать эти средства командной строки?
smartphone;смартфон;He broke his new smartphone.;Он разбил новый смартфон.
case-sensitive;с учетом регистра клавиатуры;Passwords are usually case sensitive.;Пароли обычно чувствительны к регистру.
pop-up menu;всплывающее меню;Right-click and select Paste from the pop-up menu.;Кликните правой кнопкой и выберите Вставить во всплывающем меню.
flash drive;флеш-диск;Have you seen my flash drive?;Ты не видел мою флешку?
import;импортировать;We import grain from the United States.;Мы импортируем зерно из Соединенных Штатов.
firewall;файрвол, межсетевой экран;A firewall will guarantee Internet security.;Файрвол обеспечит гарантированную безопасность в сети Интернет.
attempt;попытка;The attempt failed.;Попытка провалилась.
create;создавать;I have to create a new site.;Я должен создать новый сайт.
hardware;компьютерная аппаратура, оборудование;A list of required hardware is available here.;Список требуемого оборудования доступен здесь.
support;поддержка;Technical support.;Техническая поддержка.
mouse mat;коврик для мыши;Mouse pads for gaming come in different materials.;Игровые коврики для мышек делаются из разных материалов.
desktop;рабочий стол;I created a shortcut on the desktop.;Я создал ярлык на рабочем столе.
address book;адресная книга;I left my address book in my room.;Я оставил мою адресную книгу в моей комнате.
configuration;конфигурация;The configuration file for your database server is located in this directory.;Файл конфигурации твоего сервера базы данных находится в этом каталоге.
protocol;протокол;How can I draw up the protocol correctly?;Как мне правильно оформить протокол?
overload;перегрузка;The server is overloaded.;Сервер перегружен.
