jump;прыгать
planet;планета
location;местоположение
bird;птица
amazing;потрясающий
principle;принцип
promote;повышать в должности, продвигать
search;поиск
nine;девять
alive;живой
possibility;возможность
sky;небо
otherwise;иначе, иным образом, в противном случае
remind;напоминать
healthy;здоровый
fit;соответствовать, быть впору
horse;лошадь
advantage;преимущество
commercial;коммерческий
steal;красть
basis;основа
context;контекст
highly;крайне, высоко
Christmas;Рождество
strength;сила
Monday;понедельник
beach;пляж
survey;опрос, исследование
writing;писание, надпись, почерк
master;мастер, господин, глава школы, хозяин, магистр, овладевать
cry;кричать, плакать
scale;масштаб, шкала
resident;житель
football;футбол
sweet;сладкий
failure;неудача
reporter;репортер, корреспондент
commit;совершать, посвящать себя
associate;коллега, ассоциировать, партнёр
vision;зрение, видение
function;функция
truly;по-настоящему
sick;больной
average;средний
stupid;глупый
chinese;китайский
connection;соединение
camp;лагерь
stone;камень
hundred;сто
truck;грузовик
afternoon;после полудня
responsible;ответственный
secretary;секретарь
apparently;по всей видимости, очевидно
smart;умный
southern;южный
totally;полностью, абсолютно
western;западный
collect;собирать
conflict;конфликт
burn;обжечься, сжигать
learning;изучение, обучение
wake;просыпаться
contribute;жертвовать, вносить вклад
ride;поездка, ездить
British;ˈbrɪtɪʃ
following;последующийa
newspaper;газета
foundation;основа, фонд, фундамент
variety;разнообразие
perspective;точка зрения, перспективный
document;документ
presence;присутствие
stare;пристально глядеть
lesson;урок
limit;лимит, ограничивать
appreciate;ценить, быть признательным
observe;наблюдать
currently;в настоящее время
fun;веселье, весёлый
crowd;толпа
apartment;квартира
survive;пережить
guest;гость
soul;душа
protection;защита
intelligence;интеллект, служба разведки
yesterday;вчера
somewhere;где-то
border;граница
reading;чтение
leadership;лидерские качества, руководство
chief;основной, главный, глава
attitude;отношение, позиция
deny;отрицать
website;сайт
seriously;всерьез
actual;актуальный, действительный
recall;вспоминать, отзывать
fix;исправлять
negative;отрицательный
connect;соединять
distance;расстояние
regular;обычный, регулярный
climate;климат
relation;связь, соотношение, отношения
flight;полет,рейс
dangerous;опасный
boat;корабль
aspect;аспект
grab;схватывать
favorite;любимый
January;январь
independent;независимый
volume;объём, громкость
lots;множество, гораздо
theater;театр
speed;скорость
aware;осведомлённый, сознающий
identity;идентичность
demand;требование, спрос, требовать
extra;дополнительный
guard;охрана, охранять
demonstrate;демонстрировать
fully;полностью, целиком
Tuesday;вторник
facility;объект, установка, средство
farm;ферма
august;величественный
hire;нанимать
link;ссылка
shoe;туфля
institute;институт
below;внизу, ниже
living;жизнь, живущий
european;европейский
quarter;четверть
basically;по сути, проще говоря
forest;лес
multiple;множественный, множество
poll;опрос
wild;дикий
twice;дважды, вдвое
cross;пересекать, распятие
background;задний план, предыстория, фоновый режим
settle;устраиваться, обустраиваться, обосновываться, довольствоваться
winter;зима
presidential;президентский
operate;действовать, управлять
daily;ежедневный
shop;магазин, делать покупки
division;деление, подразделение, отдел
slowly;медленно
advice;совет
reaction;реакция
injury;травма
ticket;билет
grade;класс, степень, оценка
birth;рождение, роды
painting;картина, рисование
outcome;результат, исход
enemy;враг
damage;ущерб, вред
being;бытие, существо
storm;шторм
shape;форма, придавать форму
bowl;миска
commission;комиссия
captain;капитан
ear;ухо
troop;войско, отряд
female;женского пола, женский
wood;древесина, лес,
warm;теплый
clean;чистый, чистить, убираться
minister;министр
neighbor;сосед
tiny;крошечный
mental;умственный, психический
software;программное обеспечение
glad;радостный
finding;обнаружение, открытие
lord;повелитель, властитель
temperature;температура
quiet;тихий, успокаивать
spread;распространять, разносить
bright;яркий
influence;влияние
kick;пинать
annual;ежегодный
procedure;процедура
respect;уважение
wave;волна, махать
tradition;традиция
threaten;угрожать
primary;главный, первичный
strange;странный
actor;актер, деятель
blame;обвинять
