be;быть;Be happy!;Будь счастлив!
and;и;Love and Peace.;Любовь и мир.
in;в, через;What's in fashion in Paris?;Что в моде в Париже?
I;я;I think I can.;Я думаю, что я могу.
you;вы, ты;Thank you!;Спасибо тебе.
it;оно;It was worth it.;Оно того стоило.
have;иметь, должен;You have everything.;У тебя есть всё.
that;это;That worked.;Это работало.
for;для, за;For you?;Для вас?
do;делать;Do not do that.;Не делай этого.
he;он;He smiled.;Он улыбнулся.
with;с;With pleasure!;С удовольствием!
this;этот;Read this.;Прочти это.
we;мы;We won.;Мы выиграли.
not;не, нет;Not yet.;Ещё нет.
but;но;But she's innocent!;Но она не виновата!
they;они;They kissed.;Они поцеловали.
say;говорить;Say what you want to say.;Скажи то, что хочешь сказать.
what;что, какой;What happened?;Что случилось?
his;его;His answer depends on his mood.;Его ответ зависит от настроения.
from;из, от;I'm from England.;Я из Англии.
go;идти;Go home.;Идите домой.
or;или;Large or small?;Большой или маленький?
get;получать, становиться, добираться;And what do you get in return?;А что вы получаете взамен?
she;она;She smiled.;Она улыбнулась.
my;мой;My life, my rules.;Моя жизнь — мои правила.
can;мочь, жестяная банка;Can I open a can?;Могу я открыть банку?
as;как, так как, в качестве;Come as soon as possible.;Приходи как можно скорее.
know;знать;I know you know.;Я знаю, что ты знаешь.
if;если;If you wish.;Если ты хочешь.
me;мне, я;Answer me.;Ответь мне.
your;твой;What's your major?;Какая у тебя специальность?
all;все, весь;All belongs to all.;Всё принадлежит всем.
who;кто;Who knows?;Кто знает?
about;о, вокруг, приблизительно;Think about it.;Подумай об этом.
their;их;Their lips met.;Их губы встретились.
will;буду, воля, желать;She was a beauty, with a quick intelligence and a strong will.;Она была красавица, с быстрым умом и сильной волей.
so;так, таким образом, для того, чтобы;Everyone thinks so.;Все так думают.
would;было бы, бы;What would happen?;Что бы случилось?
make;создавать, делать;Make coffee.;Сделайте кофе.
just;только, как раз, просто;Just water, please.;Только воду, пожалуйста.
up;наверху, вверх;Hands up!;Руки вверх!
think;думать;Think about it.;Подумай об этом.
time;время, раз;Time is up.;Время вышло.
there;там;Wait there.;Жди там.
see;видеть;Let me see.;Дай посмотреть.
her;её;Ask her her name.;Спроси у неё, как её зовут.
out;вне, из;He's out.;Он снаружи.
one;один;One plus one equals two.;Один плюс один равняется двум.
come;приходить, становиться;Come home.;Возвращайся домой.
people;люди;People change.;Люди меняются.
take;брать;Take everything.;Бери всё.
year;год;What year is it?;Какой это год?
him;его;Catch him.;Лови его.
them;их;Ignore them.;Игнорируй их.
some;немного, некоторые, какой-то;Here's some water.;Вот немного воды.
want;хотеть;I want exactly what you want.;Я хочу именно то, что ты хочешь.
how;как;How interesting!;Как интересно!
when;когда;When is Halloween?;Когда Хэллоуин?
which;который, какой;Which side won?;Какая из сторон победила?
now;сейчас, теперь;Now means now.;Сейчас - значит сейчас.
like;как, нравиться, похожий;I don't like men like him.;Мне не нравятся такие мужчины, как он.
other;другой, иной;Other times, other manners.;Другие времена, другие нравы.
could;мог;Anything could happen.;Могло случиться что угодно.
our;наш;Our house, our rules.;Наш дом, наши правила.
into;в;Come into my room.;Заходи ко мне в комнату.
here;здесь;Sign here.;Подпиши здесь.
then;затем, тогда;I was eighteen then.;Мне тогда было восемнадцать.
than;чем;Better than nothing.;Лучше, чем ничего.
look;смотреть;Look again.;Посмотри ещё раз.
way;способ, путь;He blocked my way.;Он загородил мне путь.
more;более, больше, больше, ещё;Read more.;Читай больше!
these;эти;These things happen.;Эти вещи случаются.
no;нет;No means no.;Нет значит нет.
thing;вещь;Promise me one thing.;Пообещай мне одну вещь.
well;хорошо, скважина, колодец;Well said!;Хорошо сказано!
because;потому что;Because it's too big.;Потому что он слишком большой.
also;тоже, также;Clowns also cry.;Клоуны тоже плачут.
two;два;Two coffees, please.;Два кофе, пожалуйста.
use;использовать;Use your head!;Используй свою голову!
tell;сказать;Tell everybody.;Скажи всем.
good;хороший;Good question!;Хороший вопрос.
first;первый;It's April first.;Сегодня первое апреля.
man;мужчина;Let's talk man to man.;Давай поговорим как мужчина с мужчиной.
day;день;It's getting warmer day by day.;С каждым днём становится всё теплее.
find;находить;Find the cat.;Найдите кошку.
give;давать;Give me time.;Дай мне время.
new;новый;It's brand new.;Он совсем новый.
us;нам;Join us.;Присоединяйся к нам.
any;любой, сколько-нибудь, что-нибудь;Press any key.;Нажмите любую клавишу.
those;те;Open those doors!;Откройте те двери!
very;очень, как раз, тот самый;It's very, very important.;Это очень, очень важно.
need;нуждаться;I need money.;Я нуждаюсь в деньгах.
back;спина, оборотная сторона, задняя часть;Look back!;Посмотри назад!
should;следует, должно быть;We should study.;Нам следует учиться.
even;даже, равный, ровный;That's even better.;Это даже лучше.
only;только, всего лишь, единственный;Adults only.;Только для взрослых.
many;много;Many fish died.;Много рыбы погибло.
really;действительно, в самом деле;It's really, really strange.;Это очень и очень странно.
work;работа, работать;That won't work.;Это не сработает!
life;жизнь;Enjoy life.;Наслаждайся жизнью.
why;почему;And why not?;А почему нет?
right;правильный;You guessed right.;Вы угадали правильно.
down;вниз;Well, I'm going down.;Что ж, я иду вниз.
try;пытаться;Let's try something.;Давайте что-нибудь попробуем!
let;позволять, допустить;Let me pay.;Позвольте мне заплатить.
something;что-нибудь;Let's play something.;Давай сыграем во что-нибудь.
too;слишком, тоже;I'm fine too.;У меня тоже всё хорошо.
call;звонок, звонить, вызывать, призыв;Call security!;Вызовите охрану!
woman;женщина;What a woman!;Какая женщина!
may;мочь, май;May I smoke?;Я могу закурить?
still;всё ещё, неподвижный, тихий;You're still young.;Ты все еще молода.
