obviously;очевидно
refer;ссылаться
alone;в одиночестве, только
drink;пить, напиток
investigation;расследование
senator;сенатор
unit;единица измерения, группа, отдел
photograph;фотография, фотографировать
July;июль
television;телевидение
key;ключ
radio;радио
prevent;предотвращать
modern;современный
senate;сенат
violence;насилие
touch;прикасаться
feature;особенность, характерная черта
audience;публика, аудитория
evening;вечер
whom;кому
front;передняя часть
hall;холл, зал
task;задача
score;оценка, счёт
skin;кожа, сдирать
suffer;страдать
wide;широкий
Spring;весна
civil;гражданский
safety;безопасность
weekend;выходные
worth;ценность, достойный
title;заголовок, название, титул
heat;жара, тепло
normal;нормальный
yard;ярд, внутренний двор
finger;палец
tend;иметь склонность
mission;миссия
eventually;в итоге
participant;участник
hotel;гостиница
judge;судить, оценивать, судить
pattern;шаблон
institution;организация, социальный институт
faith;вера
professional;профессиональный, профессионал
reflect;отражать
folk;группа людей, народ
surface;поверхность
client;клиент
edge;край
traditional;традиционный
council;совет
device;устройство
firm;фирма, твёрдый
environmental;экологический
responsibility;ответственность
chair;стул
internet;интернет
October;октябрь
funny;забавный, смешной
immediately;немедленно
investment;вложение, инвестиция
ship;корабль
effective;эффективный, действующий
previous;предыдущий
content;содержание, довольный
consumer;потребитель
element;элемент
nuclear;ядерный
spirit;дух
directly;напрямую
afraid;испуганный, боящийся
define;определять
handle;справляться, ручка, псевдоним
track;след, путь, выслеживать
wind;ветер
lack;недостаток
announce;объявлять
journal;журнал
heavy;тяжёлый
ice;лед
collection;коллекция, сбор
feed;кормить
soldier;солдат
governor;губернатор
fish;рыба, ловить рыбу
shoulder;плечо
cultural;культурный
successful;успешный
fair;честный, ярмарка
trust;доверять
suddenly;неожиданно, внезапно
interested;заинтересованный
deliver;доставлять
Saturday;сентябрь
editor;редактор
fresh;свежий
anybody;кто-нибудь
destroy;разрушать
critical;критический, важный
agreement;соглашение
powerful;мощный, влиятельный
researcher;исследователь
concept;концепция
willing;готовый, добровольный
band;группа
marry;сочетаться браком
promise;обещать
easily;легко
restaurant;ресторан
league;лига
senior;старший
capital;столица
anymore;больше, больше не
April;апрель
potential;потенциальный, потенциал, потенциал
etc;так далее
quick;быстрый
magazine;журнал
status;статус
attend;присутствовать, уделять внимание
replace;заменять
due;должный, обязанный
hill;холм
kitchen;кухня
achieve;достигать
screen;экран
generally;как правило, в целом
mistake;ошибка
strike;ударять, ударяться, бастовать, бить
battle;битва
spot;пятно, место
basic;основной, стандартный
corner;угол
target;цель
driver;водитель
beginning;начало, происхождение
religion;религия
crisis;кризис
count;считать, счёт
museum;музей
engage;привлекать
communication;коммуникация
murder;убийство
blow;дуть, взрываться
object;объект
express;выражать
encourage;поддерживать, поощрять
blog;блог
smile;улыбаться, улыбка
belief;вера, убеждение
block;блок, квартал, блокировать, преграждать
debt;долг
labor;труд
understanding;понимание
neighborhood;окрестности, соседство
contract;контракт, сжимать, сократиться, уменьшать
species;вид, разновидность
additional;дополнительный
sample;образец
involved;вовлеченный
mostly;главным образом
path;тропа
concerned;встревоженный
apple;яблоко
conduct;управлять, проводить
god;бог
wonderful;замечательный
library;библиотека
prison;тюрьма
hole;дыра
attempt;попытка
complete;завершать, полный
code;кодекс, код
sales;продажи
gift;подарок, одарённость
refuse;отказываться, отклонять
garden;сад
introduce;представлять, внедрять,
roll;катиться, рулон
Christian;христианский
definitely;определённо
lake;озеро
earn;зарабатывать
plane;самолет
vehicle;транспортное средство
examine;осматривать, изучать
application;приложение
thousand;тысяча
coffee;кофе
gain;получать, набирать, выгода
file;файл
billion;миллиард
reform;реформа, проводить реформы
ignore;игнорировать
welcome;добро пожаловать
gold;золото, золотой
