active;активный
cat;кот
depend;зависеть
bus;автобус
clothes;одежда
affair;дело, внебрачная связь
contact;контакт
category;категория
topic;тема
victory;победа
direct;прямой, направлять
towards;по направлению к
map;карта
egg;яйцо
ensure;обеспечивать, гарантировать
expression;выражение
session;сессия
competition;конкуренция, соревнование
possibly;может быть
technique;техника
mine;мой, шахта, мина, добывать, минировать
intend;намереваться
impossible;невозможный
moral;моральный
academic;академический
wine;вино
somehow; как-то
gather;собираться
scientific;научный
african;африканский
cook;готовить, повар
participate;участвовать
appropriate;подходящий, присваивать
youth;юность
dress;одеваться, платье
straight;прямо
weather;погода
recommend;рекомендовать
medicine;лекарство, медицина
novel;роман, новый
obvious;очевидный
Thursday;четверг
exchange;обмен, замена
explore;изучать, исследовать
extend;расширять, простираться
bay;бухта
invite;приглашать
tie;галстук, связь, ничья
belong;принадлежать
obtain;получать, обретать
broad;широкий,
conclusion;умозаключение, итог
progress;прогресс
surprise;удивлять
assessment;оценивание, оценка
cash;наличные, деньги, обналичивать
defend;отстаивать, защищать
pound;фунт
correct;корректный, правильный, исправлять
married;женатый
pair;пара
slightly;немного
loan;заём
village;деревня
suit;костюм, подходить
historical;исторический
meaning;значение
supply;запас, снабжение
lift;лифт, поднимать
ourselves;себя
honey;мёд
bone;кость
consequence;последствие
unique;уникальный
regulation;регулирование, упорядочение
award;награда
bottom;низ, нижний
excuse;извинять, оправдывать, оправдание, извинение
familiar;знакомый
classroom;класс
reference;рекомендация, ссылка
emerge;появляться
lunch;обед
ad;реклама
desire;желание
instruction;инструкция
emergency;чрезвычайное положение
thinking;размышление
tour;тур,экскурсия
French;французский
combine;объединять, смешивать
moon;луна
sad;грустный
December;декабрь
anywhere;где-нибудь, где угодно
chicken;цыплёнок
fuel;топливо
train;поезд
abuse;злоупотребление, злоупотреблять
construction;строительство, конструкция
Wednesday;среда
deserve;заслуживать
famous;знаменитый
intervention;вмешательство
grand;величественный, гигантский
confirm;подтверждать
lucky;удачливый
insist;настаивать
coast;побережье
proud;гордый
fourth;четвертый
cop;полицейский, коп
angry;сердитый
native;родной
supreme;верховный
baseball;бейсбол
email;электронная почта
accident;несчастный случай
duty;долг, обязанность, пошлина
growing;возрастающий, выращивание
struggle;борьба
revenue;выручка
expand;расширять, увеличивать
launch;запускать, запуск
trend;тенденция, направление
ring;кольцо, звон, ринг, звонить
repeat;повторять
breath;дыхание
inch;дюйм
neck;шея
core;ядро, сущность
terrible;ужасный
relatively;относительно
complex;сложный, комплекс
slow;медленный
soft;мягкий
generate;производить, генерировать
extremely;чрезвычайно
forever;навсегда
corporate;корпоративный
prefer;предпочитать
except;кроме, за исключением, исключать
cheap;дешёвый
literature;литература
mayor;мэр
male;мужской, самец
importance;важность
danger;опасность
emotional;эмоциональный
knee;колено
capture;захватывать
traffic;трафик
plate;тарелка
equipment;оборудование
select;выбирать
studio;студия
expensive;дорогой
secret;секрет, секретный
engine;двигатель, engine
adopt;принимать, усыновлять
luck;удача
via;через, с помощью
panel;панель
hero;герой
circle;круг
critic;критик
solve;решать
busy;занятый
episode;событие, эпизод, серия
requirement;требование
politician;политик
rain;дождь
colleague;коллега
disappear;исчезать
beer;пиво
predict;предугадывать, прогнозировать
exercise;упражнение,
tired;уставший
democracy;демократия
ultimately;в конечном счёте
setting;параметр, настройка, постановка
honor;награда, честь
works;завод
unfortunately;к сожалению
theme;тема
united;объединенный
pool;объединение, бассейн, объединять
educational;образовательный
empty;пустой
comfortable;удобный
investigate;расследовать
useful;полезный
pocket;карман
digital;цифровой
plenty;множество
entirely;полностью
afford;позволить себе
sugar;сахар
teaching;преподавание
conservative;консервативный
