photographer;фотограф
running;бег
engagement;помолвка, вовлечённость
differ;отличаться
pitch;питч, высота, подача, смола
extensive;обширный
salad;салат
stair;лестница, ступенька
grace;милость, благодать
divorce;развод
vessel;сосуд
pig;свинья
assignment;назначение
distinction;различие
circuit;схема, электрическая цепь
acid;кислота
Canadian;канадский
flee;сбегать
efficiency;эффективность
memorial;памятник
proposed;предложенный
entity;сущность, организация, единица 
punishment;наказание
pause;пауза
pill;таблетка
rub;тереть
romantic;романтический
myth;миф
economist;экономист
latin;латинский
decent;порядочный, приличный
craft;ремесло, судно, самолет
poetry;поэзия
thread;нить, резьба, поток
wooden;деревянный
confuse;путать, смущать, запутывать
privilege;привилегия
coal;уголь
fool;дурак, дурить
cow;корова
characterize;характеризовать
pie;пирог
decrease;снижать, сокращать
resort;курорт, прибегать
legacy;наследство
frankly;откровенно
cancel;отменить
derive;выводить, получать
dumb;тупой, немой
scope;рамки, сфера, масштаб
formation;формирование
grandfather;дедушка
hence;следовательно
margin;прибыль, запас
wound;рана
exhibition;выставка
legislature;законодательная власть
furthermore;более того
portrait;портрет
sustain;поддерживать
uniform;униформа
painful;болезненный
loud;громкий
miracle;чудо
harm;вред
zero;ноль
tactic;тактика
mask;маска, маскировать
calm;спокойный, успокаивать
inflation;инфляция
hunting;охота
physically;физически
flesh;плоть, мякоть
temporary;временный
nerve;нерв
lung;лёгкое
steady;постоянный, устойчивый
headline;заголовок
sudden;внезапный
successfully;успешно
defendant;ответчик, подсудимый
pole;столб, шест
satisfy;удовлетворять
entrance;вход
aircraft;летательный аппарат
withdraw;снимать деньги со счета, изымать
cabinet;кабинет, шкаф , корпус
repeatedly;неоднократно
happiness;счастье
admission;признание верным, доступ
correlation;связь, корреляция, взаимозависимость
proportion;пропорция, доля, часть
dispute;спор, диспут, разногласия
candy;конфета
reward;награда
counselor;советник, адвокат
recording;запись
pile;куча
explosion;взрыв
appoint;назначать
couch;диван, кушетка
cognitive;познавательный
furniture;мебель
significance;значимость
grateful;благодарный
commissioner;комиссар, уполномоченный
shelf;полка, шельф
tremendous;огромный, потрясающий
warrior;воин
physics;физика
garage;гараж
flavor;вкус, аромат
squeeze;сжимать, выжимать
prominent;видный, выдающийся, известный
fifty;пятьдесят
fade;тускнеть, увядать
oven;духовка, печь
satisfaction;удовлетворение
discrimination;дискриминация, разграничение
recession;рецессия, спад
allegation;обвинение, заявление
boom;бум, стрела
weekly;еженедельный, еженедельно
lately;в последнее время
restriction;ограничение
diamond;бриллиант
crack;трещина, трескаться
conviction;убеждение, признание виновным
heel;каблук, пятка
fake;фальшивый, ненастоящий, фальсифицировать
fame;слава
shine;светить, сиять
playoff;плей-офф, решающая встреча
actress;актриса
cheat;жульничать, изменять, обманывать, мошенник
format;формат, форматировать
controversy;разногласие, неоднозначная ситуация
auto;автомобиль
grocery;гастроном
headquarters;штаб-квартира
rip;рвать, разрыв, разрез
shade;тень, оттенок
regulate;настраивать, регулировать
meter;метр, измеритель
olympic;олимпийский
pipe;трубка, трубопровод
celebration;празднование
handful;горстка
copyright;авторское право
dependent;зависимый
signature;подпись
bishop;епископ, слон
strengthen;укреплять , усиливать
soup;суп
entitle;давать право, называть
whoever;кто бы ни
carrier;носильщик, перевозчик
anniversary;годовщина
pizza;пицца
ethics;этика
legend;легенда
eagle;орёл
scholarship;стипендия, ученость
membership;членство
standing;стояние, репутация
possession;владение
treaty;договор
partly;частично
consciousness;сознание
manufacturing;производство
announcement;объявление
tire;уставать, шина, покрышка
makeup;макияж, состав, мириться
prediction;предсказание
stability;стабильность
trace;отслеживать, выслеживать
norm;норма, стандарт
Irish;ирландский
genius;гений
gently;нежно
operator;оператор
mall;торговый центр
rumor;слух
poet;поэт
tendency;тенденция, склонность
subsequent;последующий
alien;чужак, иностранец
explode;взрывать, взрываться
controversial;спорный
maintenance;техническое обслуживание, содержание
courage;храбрость
exceed;превышать, превосходить
principal;главный, основной
vaccine;вакцина
identification;идентификация
sandwich;сэндвич
bull;бык
lens;линза, объектив
twelve;двенадцать
mainstream;основное направление, господствующая тенденция
