chairman;председатель
error;ошибка
bridge;мост
tall;высокий
specifically;особенно, специально
flower;цветок
universe;вселенная
acknowledge;сознавать, подтверждать получение, допускать
coverage;охват, покрытия, освещение события
crew;команда, экипаж
locate;определять местонахождение, размещать
balance;равновесие, баланс
equal;одинаковый, равный
lip;губа, выступ, край
lean;наклонять, худой, скудный
zone;область, зона
wedding;свадьба
copy;копировать
joke;шутка, шутить
used;подержанный, использованный
bear;медведь, выносить
meal;еда
minority;меньшинство
sight;взгляд, зрелище, зрение
Russian;русский
soviet;советский
profit;прибыль
careful;внимательный, осторожный
gender;пол
tape;лента
ocean;океан
unidentified;неопределённый, неопознанный
host;хозяин, принимать гостей
grant;дарить, разрешать, грант
circumstance;обстоятельство
boss;босс
declare;объявлять, декларировать
domestic;находящийся внутри страны
tea;чай
organize;организовывать
English;английский
neither;ни тот, ни другой, ни один
surround;окружать
manner;манера, способ
surprised;удивленный
percentage;процент, доля
massive;грандиозный, массивный
cloud;облако
winner;победитель
honest;честный
propose;предлагать
rely;полагаться
plus;плюс
sentence;предложение, приговор
request;запрос, просьба
appearance;внешний вид, появление
regarding;относительно
excellent;превосходный
criminal;преступный, преступник
salt;соль
beauty;красота
bottle;бутылка
component;компонент
fee;гонорар, плата
jewish;еврейский
yours;ваш
dry;сухой
dance;танец, танцевать
shirt;рубашка
tip;чаевые, кончик
plastic;пластмасса, пластиковый
Indian;индийский
mark;помечать, знак препинания
tooth;зуб
meat;мясо
stress;ударение, стресс
illegal;незаконный
significantly;значительно
February;февраль
constitution;конституция
definition;определение
uncle;дядя
metal;металл, металлический
album;альбом
self;себя
suppose;предполагать
investor;инвестор
fruit;фрукт
holy;святой
desk;письменный стол, стойка
eastern;восточный
valley;долина
largely;преимущественно
abortion;аборт
chapter;глава
commitment;обязательство
celebrate;праздновать
arrest;арестовывать, арест
prime;важнейший, первичный
urban;городской
internal;внутренний
bother;беспокоиться, беспокоить
proposal;предложение 
shift;сдвиг, меняться, смена
capacity;емкость
guilty;виноватый
warn;предупреждать
weak;слабый
catholic;католический
nose;нос
variable;переменная
convention;соглашение
jury;присяжные, конкурсное жюри
root;корень
incident;происшествие, инцидент
climb;взбираться
hearing;слушание, слух
everywhere;везде
payment;платёж
conclude;приходить к заключению, заключать
scream;кричать, крик
surgery;хирургия
shadow;тень
witness;свидетель, свидетельствовать, быть очевидцем
increasingly;всё в большей мере
chest;грудная клетка
amendment;поправка, исправление
paint;рисовать, красить
complain;жаловаться, подавать жалобу
extent;степень, протяжение
pleasure;удовольствие
nod;кивать, кивок
holiday;отпуск, праздник, каникулы
super;превосходный, чрезвычайно
talent;талант
necessarily;обязательно
liberal;либеральный
expectation;ожидание
accuse;обвинять
knock;стучать
previously;прежде
wing;крыло
corporation;корпорация
sector;сектор
fat;жир, толстый
experiment;эксперимент
match;спичка, сочетаться, совпадать
thin;тонкий
farmer;фермер
rare;редкий, непрожаренный
confidence;уверенность
bunch;гроздь, набор, связка, группа
bet;держать пари
cite;цитировать
northern;северный
speaker;выступающий, спикер, динамик
breast;грудь
contribution;вклад,
leaf;лист
creative;творческий
interaction;взаимодействие
hat;шляпа
doubt;сомнение
pursue;преследовать, продолжать
overall;общий, комбинезон
nurse;медсестра, ухаживать, нянчить, ухаживать
long-term;долгосрочный
gene;ген
package;упаковка, сверток, пакет
weird;странный
difficulty;затруднение
hardly;едва
daddy;папочка
estimate;оценивать
era;эра
aid;помощь, способствовать
invest;инвестировать
personally;лично, персонально
notion;представление, понятие
explanation;объяснение
airport;аэропорт
chain;цепь
expose;разоблачать, подвергать
lock;запирать, замо́к
convince;убеждать
channel;канал
carefully;осторожно
tear;рвать, слеза
estate;имущество
initial;первоначальный, инициал
purchase;покупать, покупка
guide;гид
forth;вперёд, далее
bond;связь, узы
birthday;день рождения
pray;молиться
improvement;улучшение
ancient;древний
ought;должен
escape;сбегать, избегать,
