trail;след, тропа
brown;коричневый
fashion;манера, стиль, мода
length;длина, длительность
sheet;лист, простыня, парус
funding;финансирование
meanwhile;тем временем
fault;ошибка, вина, неисправность
barely;едва
eliminate;устранять
motion;движение
essential;важнейший, существенный
apart;отдельно, порознь
combination;сочетание, комбинация
limited;ограниченный
description;описание
mix;смесь, смешивать
snow;снег
implement;implement
proper;надлежащий
marketing;маркетинг
approve;одобрять
bomb;бомба
slip;соскальзывать, скользить
regional;региональный
muscle;мышца, мускул
false;ошибочный, фальшивый, неверный
creation;создание
typically;как правило, типично
spending;трата, расходы
instrument;инструмент
mass;масса, множество
thick;толстый
kiss;целовать, поцелуй
inspire;вдохновлять
separate;отдельный, отделять
noise;шум
yellow;жёлтый
aim;цель, целиться
e-mail;электронная почта, электронное письмо
cycle;цикл
signal;сигнал
app;приложение
golden;золотой
reject;отклонять, отвергать
inform;информировать
perception;понимание, восприятие
visitor;посетитель
cast;отбрасывать, бросать, актерский состав
contrast;отличие, контраст
judgment;суждение, осуждение
representative;представитель
regime;режим
merely;только, всего лишь
producer;производитель, продюсер
route;маршрут
typical;типичный
analyst;аналитик
elect;избирать
smell;запах, чувствовать запах
disability;инвалидность
comparison;сравнение
rating;оценка, рейтинг
campus;кампус, университетский городок
assess;оценивать
solid;прочный, твёрдый
branch;филиал, ветвь
mad;сумасшедший
somewhat;отчасти
gentleman;джентльмен
opposition;оппозиция
suspect;подозревать, подозреваемый
aside;в сторону
athlete;атлет
opening;церемония открытия, открытие, вакантное место, отверстие
prayer;молитва
frequently;часто
employ;нанимать, использовать
basketball;баскетбол
existing;существующий
revolution;революция
click;кликнуть
emotion;эмоция
platform;платформа
frame;кадр, рама, каркас
appeal;призыв, привлекательность, апелляция
quote;цитировать, кавычки, расценка
brand;торговая марка, бренд
enable;включить
legislation;законодательство
addition;дополнение
lab;лаборатория
oppose;выступать против
row;ряд
immigration;иммиграция
asset;актив
observation;наблюдение
taste;вкус
decline;ухудшаться, идти на убыль
attract;привлекать, притягивать
household;домочадцы
breathe;дышать
existence;существование
mirror;зеркало
pilot;пилот
relief;облегчение
milk;молоко
warning;предупреждение
heaven;небеса
flow;струиться, течь, поток
literally;буквально
quit;прекращать, бросать, уходить, увольняться
calorie;калория
seed;семя, сеять
vast;огромный
bike;велосипед
German;немецкий
employer;работодатель
drag;тянуть, тащить
technical;технический
disaster;катастрофа
display;отображать, дисплей
sale;продажа, распродажа
bathroom;ванная комната
succeed;успех
consistent;последовательный, согласующийся
agenda;повестка
enforcement;принуждение
diet;диета
silence;тишина
journalist;журналист
bible;библия
queen;королева
divide;делить
expense;трата
cream;сливки
exposure;подверженность воздействию, показ, экспозиция
priority;приоритет
soil;почва
angel;ангел
journey;путешествие, поездка
relevant;релевантный, соответствующие
tank;танк, бак, резервуар
cheese;сыр
schedule;расписание, график
bedroom;спальня
tone;интонация, тон, настроение
selection;выбор, естественный отбор, подборка
perfectly;совершенно, идеально
wheel;колесо
gap;разрыв, зазор, пробел
veteran;ветеран
disagree;не соглашаться
characteristic;свойство, характеристика
protein;протеин, белок
resolution;разрешение, резолюция
regard;внимание, отношение, пожелание
fewer;меньше, несколько
engineer;инженер
dish;блюдо
waste;тратить впустую
print;печатать
depression;депрессия
dude;чувак
upper;верхний
wrap;заворачивать, охватывать, обертка
CEO;генеральный директор, главный исполнительный директор
visual;визуальный
initiative;инициатива
rush;торопиться, порыв
gate;ворота, выход на посадку
whenever;когда бы ни 
entry;запись, вход, вхождение
Japanese;японский
gray;серый
assistance;помощь
height;высота, рост 
compete;соревноваться
essentially;по существу
phase;фаза
recover;восстанавливаться
criticism;критика
faculty;факультет
achievement;достижение
alcohol;алкоголь
therapy;лечение, терапия
offense;оскорбление, обида, правонарушение
killer;убийца
personality;индивидуальность, характер
landscape;ландшаф
deeply;глубоко
reasonable;благоразумный
suck;сосать
transition;перемещение, переход,
fairly;весьма, довольно-таки, честно
column;колонна
wash;мыть
button;кнопка, пуговица
opponent;противник, оппонент
pour;наливать
