immigrant;иммигрант
distribution;распределение, дистрибутив
golf;гольф
pregnant;беременная
unable;неспособный
alternative;альтернатива
violent;насильственный
portion;порция
acquire;приобретать, захватывать
suicide;самоубийство
stretch;растягиваться, вытягиваться
deficit;нехватка, дефицит
symptom;симптом
solar;солнечный
complaint;жалоба
capable;способный, умелый
analyze;анализировать
scared;напуганный
supporter;сторонник
dig;копать
twenty;двадцать
pretend;притворяться
philosophy;философия
childhood;детство
lower;снижать,
wealth;богатство, изобилие
welfare;благополучие
poverty;бедность
prosecutor;прокурор
spiritual;духовный
double;двойной
evaluate;оценивать
Israeli;израильский
reply;ответ
buck;доллар, самец, козел
knife;нож
round;круглый
tech;технический
detective;детектив
pack;пачка, упаковывать
disorder;расстройство
creature;существо
closely;близко
industrial;промышленный
housing;жильё, корпус
chip;обломок, чип, микросхема
regardless;невзирая на
numerous;многочисленный
command;команда, владение
shooting;съёмка, стрельба
dozen;дюжина
pop;популярный, хлопать
layer;слой
bread;хлеб
exception;исключение, ошибка
passion;страсть
highway;шоссе, автодорога
pure;чистый
commander;военачальник, командир
extreme;предельный, крайний
publication;публикация
vice;порок, вице
fellow;парень
mystery;тайна
championship;чемпионат
install;устанавливать
tale;рассказ, сказка
liberty;свобода
beneath;ниже, под
passenger;пассажир
physician;врач-терапевт
graduate;выпускник, оканчивать
sharp;острый, диез
substance;вещество, сущность
atmosphere;атмосфера
stir;помешивать, двигаться, ажиотаж
muslim;мусульманин
passage;переход, отрывок, проход
pepper;перец
emphasize;подчеркнуть
cable;кабель
square;площадь, сквер
recipe;рецепт
load;грузить, загружать
beside;рядом
roof;крыша
vegetable;овощ
accomplish;выполнять
silent;тихий
habit;привычка
discovery;открытие
recovery;восстановление
DNA;ДНК
territory;территория
girlfriend;девушка, подруга
consist;заключаться
surely;несомненно
proof;доказательство
nervous;взволнованный, нервный
immediate;незамедлительный, ближайший
parking;парковка
sin;грех
unusual;необычный
rice;рис
engineering;инженерное дело, инженерия
advance;продвигаться вперёд, наступление, авансовый
bury;хоронить
cake;торт
anonymous;анонимный
flag;флаг
contemporary;современный
jail;тюрьма
rural;сельский
interpretation;интерпретация
wage;зарплата
breakfast;завтрак
severe;суровый
profile;профиль
saving;экономия, спасение, сбережение
brief;краткий
adjust;регулировать, приспосабливаться
reduction;снижение, сокращение
constantly;постоянно
assist;помогать
constant;постоянный, верный, константа
permit;позволять, допускать, разрешение,
primarily;преимущественно
entertainment;развлечение
shout;кричать
academy;академия
teaspoon;чайная ложка
transfer;трансфер
usual;обычный
ally;союзник
clinical;клинический
swear;клятва, клясться
avenue;авеню, проспект
priest;священник
employment;занятость, работа, использование
relax;расслаблять
owe;задолжать
transform;преобразовывать
grass;трава
narrow;узкий
ethnic;этнический
scholar;учёный, ученик
edition;издание
abandon;покидать
practical;практический
infection;инфекция
musical;музыкальный
suggestion;предложение
resistance;сопротивление
smoke;курить
prince;принц
illness;болезнь
embrace;охватывать, обнимать, принимать
republic;республика
volunteer;доброволец
evaluation;оценивание, оценка
opposite;находящийся напротив , противоположный
awesome;великолепный, изумительный
switch;переключаться, меняться местами, обменивать
Iraqi;иракский
iron;железо, утюг, гладить одежду
perceive;воспринимать
fundamental;фундаментальный
phrase;фраза
assumption;предположение
sand;песок
designer;дизайнер, проектировщик
planning;планирование
leading;ведущий, передовой
mode;режим, способ
widely;в значительной степени, широко
occasion;повод, случай
pose;излагать, позировать, поза
approximately;приблизительно
retire;уходить на пенсию
elsewhere;где-то в другом месте
festival;праздник, фестиваль
cap;кепка, шапка, колпачок, крышка
secure;обезопасить, обеспечивать
attach;прикреплять
mechanism;механизм,
intention;намерение
scenario;сценарий
yell;кричать
incredible;невероятный
Spanish;испанский
strongly;сильно
racial;расовый
transportation;транспортировка
pot;горшок, банка, котел, чайник
boyfriend;парень
consideration;рассмотрение, соображение, размышление
prior;предварительный
retirement;уход на пенсию
rarely;редко
joint;совместный, сустав
