love;любить, любовь;I love you.;Я тебя люблю.
each;каждый;Each individual is different.;Каждый человек отличается.
hold;держать;Hold tight.;Держись крепко.
different;разный;Different people have different ideas.;У разных людей разные идеи.
American;əˈmɛrɪkən;They're probably American.;Они, вероятно, американцы.
little;маленький;You're too little.;Ты слишком мал.
before;перед;Shake before using.;Перед использованием взболтать.
ever;когда-либо;I'm hardly ever home.;Я едва когда-либо дома.
word;слово;Every word matters.;Каждое слово имеет значение.
fact;факт;It's a proven fact.;Это доказанный факт.
read;читать;Read it aloud.;Прочти это вслух.
anything;что-нибудь;Don't forget anything.;Ничего не забудь.
nothing;ничего, ничто;Nothing special.;Ничего особенного.
sure;уверенный, конечно;I'm absolutely sure!;Я абсолютно уверен!
small;маленький;Rats are small.;Крысы маленькие.
month;месяц;Come back within a month.;Возвращайся в течение месяца.
program;программа;The program was programmed by programmers.;Программа была запрограммирована программистами.
maybe;может быть;Maybe next time.;Может быть, в следующий раз.
under;под, при, в подчинении;Everything's under control.;Всё под контролем.
business;бизнес, дело;Business is business.;Бизнес есть бизнес.
home;дом, родина, родина, дом, главная страница, место обитания, приют, семья, домой, в цель, до упора, возвращаться домой, родной, отечественный, относящийся ко внутренним делам, домашний;Welcome home.;Добро пожаловать домой.
kind;вид, добрый;You're so kind.;Вы так добры.
stop;прекращать;Stop worrying.;Перестань волноваться.
pay;платить;I pay taxes.;Я плачу налоги.
study;изучать;Let's study English.;Давайте изучать английский.
since;с тех пор;We're friends since Monday.;Мы дружим с понедельника.
issue;вопрос, выпуск, проблема;That's not an issue.;Это не проблема.
name;имя, название;I'm not going to name names.;Я не стану называть имён.
idea;идея;That's a brilliant idea.;Это блестящая идея.
room;комната;Clean the room.;Уберись в комнате.
percent;процент;Download failed at 99 percent.;Закачка прервалась на 99 процентах.
far;далёкий, далеко;You're going too far.;Вы заходите слишком далеко.
away;прочь, далеко;Stay away.;Держись подальше.
law;закон;He broke the law.;Он нарушил закон.
actually;на самом деле, в действительности;Did it actually happen?;Это действительно случилось?
large;большой;Rhinoceroses are large animals.;Носороги крупные животные.
though;но, несмотря на;Tom speaks French well, though not perfectly.;Том хорошо говорит по-французски, хотя не безупречно.
provide;снабжать, предоставлять;We'll provide you with anything you need.;Мы снабдим вас всем необходимым.
lose;терять, проигрывать;Never lose hope.;Никогда не теряй надежду.
power;мощность, энергия, власть;Knowledge is power.;Знание - сила.
kid;ребёнок, разыгрывать;She has one kid.;У неё один ребёнок.
war;война;Nobody likes war.;Никто не любит войну.
understand;понимать;They wouldn't understand.;Они не поняли бы.
head;голова;Duck your head!;Пригни голову!
mother;мать;My mother knows Tom's mother.;Моя мать знакома с матерью Тома.
real;реальный, подлинный, истинный;That's real gold.;Это настоящее золото.
best;самый лучший;We're best friends.;Мы лучшие друзья.
team;команда;Which team won?;Какая команда выиграла?
eye;глаз;Why is your eye red?;Почему у тебя глаз красный?
long;длинный;That bridge isn't long.;Этот мост не длинный.
side;сторона;We're on your side.;Мы на твоей стороне.
water;вода;Cats hate water.;Кошки ненавидят воду.
young;молодой;He's still young.;Он ещё молодой.
wait;ждать;Wait there.;Жди там.
okay;хорошо, окей;Okay. How much?;Хорошо. Сколько?
both;оба;Both girls laughed.;Обе девушки засмеялись.
yet;ещё, всё ещё, до сих пор, пока что;Not sure yet.;Пока не уверен.
meet;встречать, знакомиться;Let's meet tonight.;Давай встретимся сегодня вечером.
service;служба, услуга, обслуживание;At your service.;К вашим услугам.
area;площадь, пространство, район;It's a tourist area.;Это туристический район.
important;важный;Education is important.;Образование необходимо.
person;человек;I'm almost another person.;Я почти что другой человек.
thank;благодарить;You'll thank me.;Ты будешь меня благодарить.
someone;кто-то;Call someone.;Позвони кому-нибудь.
end;конец, заканчивать;End of story.;Конец истории.
change;менять, сдача, сменная одежда;Fashions change quickly.;Мода быстро меняется.
however;однако;However, I'm not good at speaking English.;Однако я не очень хорошо говорю по-английски.
around;вокруг, около;Look around you.;Посмотрите вокруг себя.
hour;час;You're an hour late.;Ты опоздал на час.
everything;всё;Everything is fine.;Всё хорошо.
national;национальный;He became a national hero.;Он стал национальным героем.
four;четыре;You have four dogs.;У тебя четыре собаки.
line;ряд, линия, очередь, строка;Draw a straight line.;Нарисуй прямую линию.
girl;девочка;What a bad girl!;Какая плохая девочка!
watch;наблюдать, смотреть;I watch television.;Я смотрю телевизор.
until;до тех пор пока не, до;Stay home until six.;Останься дома до шести.
father;отец;I'm your father.;Я твой отец.
sit;сидеть;Sit still!;Сиди смирно!
create;создавать;I have to create a new site.;Я должен создать новый сайт.
information;информация;This information is confidential.;Это конфиденциальная информация.
car;автомобиль, машина;Take my car.;Возьми мою машину.
learn;учиться;You learn quickly.;Ты быстро учишься.
least;наименее, меньше всего, наименьший;He was our youngest and least experienced.;Он был самым молодым из нас и наименее опытным.
already;уже;Vacation's already over.;Отпуск уже закончился.
kill;убивать;Smoking can kill.;Курение может убить.
minute;минута;Wait a minute, please.;Подождите минутку, пожалуйста.
party;вечеринка, группа, сторона;Let's throw a party.;Давайте устроим вечеринку.
include;включать;Does that price include VAT?;Это цена с учётом НДС?
stand;стоять;Don't stand there.;Не стой там.
together;вместе;They traveled together.;Они путешествовали вместе.
follow;следовать, преследовать;Please follow me.;Следуйте за мной, пожалуйста.
health;здоровье;Exercise improves health.;Физкультура укрепляет здоровье.
remember;помнить;Remember this!;Помни об этом!
often;часто;I often read.;Я часто читаю.
reason;причина, разум, благоразумие;That's not the reason.;Причина не в этом.
speak;говорить;Speak louder.;Говорите погромче.
ago;тому назад;He left ten minutes ago.;Он уехал десять минут назад.
set;ставить, настраивать, набор;Tom set the timer.;Том поставил таймер.
black;чёрный;Black suits you.;Чёрный Вам идёт.
member;член;She's a member of this organization.;Она член этой организации.
community;сообщество;This is an international community.;Это международное сообщество.
once;один раз, как только;It happened once.;Однажды это случилось.
social;социальный, светский, общественный;Cats are social animals.;Кошки являются социальными животными.
news;новости ;Spread the news!;Распространи новости!
allow;позволять;Allow me to explain.;Позволь мне объяснить.
win;победить;I always win.;Я всегда выигрываю.
body;тело;Listen to your body.;Прислушивайтесь к своему организму.
lead;вести;All roads lead to Rome.;Все дороги ведут в Рим.
continue;продолжать;This cannot continue.;Это не может продолжаться.
whether;ли;I wonder whether it'll snow.;Интересно, пойдёт ли снег.
enough;достаточно;Enough is enough!;Хватит - значит хватит!
spend;тратить;How did you spend your vacation?;Как ты провёл свой отпуск?
level;уровень;The sea level is rising.;Уровень моря поднимается.
able;способный;Are rabbits able to swim?;Кролики умеют плавать?
political;политический;I want political asylum.;Я хочу получить политическое убежище.
almost;почти;Almost everyone came.;Пришли почти все.
boy;мальчик;He's a big boy.;Он большой мальчик.
university;университет;When was this university founded?;Когда был основан этот университет?
stay;оставаться;Stay here!;Останься здесь!
add;добавлять;Add some salt.;Добавь немного соли.
later;позже;Catch you later.;Увидимся позже.
five;пять;High five!;Дай пять!
probably;вероятно;It'll probably rain.;Возможно, пойдет дождь.
center;центр;He works in a call center.;Он работает в колл-центре.
among;между, среди;You're among friends.;Вы среди друзей.
face;лицо;Stand face to face.;Встаньте лицом к лицу.
public;общественный;He embezzled public money.;Он присвоил общественные деньги.
die;умирать;Please don't die!;Пожалуйста, не умирай!
food;еда;She sells food.;Она продаёт еду.
else;ещё, кроме;Who else knows?;Кто ещё знает?
history;история;History is cyclical.;История циклична.
buy;покупать;Buy some toys.;Купите игрушек.
result;результат;The result was unexpected.;Результат был неожиданным.
morning;утро;I shave every morning.;Я бреюсь каждое утро.
parent;родитель;It's hard being a parent.;Трудно быть родителем.
office;офис;I'm an office worker.;Я офисный работник.
course;курс;I changed course.;Я изменил курс.
send;отправлять;Send a telegram!;Отправь телеграмму!
research;исследование;He is engaged in medical research.;Он вовлечён в исследования в области медицины.
walk;гулять, ходить пешком;Walk every day.;Гуляй каждый день.
door;дверь;Hold the door.;Придержи дверь.
white;белый;Snow is white.;Снег белый.
several;несколько;We've had several meetings.;У нас было несколько встреч.
court;суд;See you in court.;Встретимся в суде!
grow;расти;From acorns grow oaks.;Из желудей вырастают дубы.
better;лучше;Better than nothing.;Лучше, чем ничего.
open;открывать;Open your mouth!;Открой рот.
moment;момент;Enjoy the moment.;Наслаждайся моментом.
including;в том числе;Everybody laughed, including me.;Все смеялись, включая меня.
consider;рассматривать, считать;Consider yourself lucky.;Считайте, что вам повезло.
within;внутри, в пределах;The tickets sold out within a week.;Билеты были распроданы в течение недели.
second;второй;Second semester has ended.;Закончился второй семестр.
late;поздний;It's getting late.;Становится поздно.
street;улица;Cross the street.;Перейдите через улицу.
free;свободный, бесплатный;Everything's free.;Все бесплатно.
everyone;каждый;Hello everyone!;Всем привет!
policy;политика;The government had to alter its foreign policy.;Правительству пришлось изменить свою внешнюю политику.
table;стол;This table is reserved.;Этот столик зарезервирован.
sorry;извините, сожалеющий;I'm terribly sorry.;Мне ужасно жаль.
care;беспокоиться, заботиться;Take care!;Береги себя!
low;низкий;Your blood pressure's low.;У Вас низкое кровяное давление.
human;человеческий, человек;Parrots imitate human speech.;Попугаи имитируют человеческую речь.
please;пожалуйста, доставлять удовольствие;Attention please!;Пожалуйста, внимание!
