aids;помощь
whereas;тогда как
defensive;защитный
independence;независимость
apologize;просить прощения
asian;азиатский
rose;роза
ghost;привидение
involvement;вовлеченность
permanent;постоянный
wire;проволока, электрический провод,
whisper;шептать
mouse;мышь
airline;авиакомпания
founder;основатель
objective;цель, объектив
nowhere;нигде
phenomenon;феномен
evolve;развиваться, эволюционировать
exact;точный
silver;серебро
cent;цент
universal;глобальный, универсальный
teenager;подросток
crucial;критически важный
viewer;зритель, проектор
ridiculous;нелепый, смехотворный
chocolate;шоколад
sensitive;чувствительный, восприимчивый
grandmother;бабушка
missile;ракета
roughly;примерно, грубо
constitutional;конституционный
adventure;приключение
genetic;генетический
related;связанные с, родственный
swing;качать, размахивать, качели
ultimate;предельный, конечный
manufacturer;производитель
unknown;неизвестный
wipe;вытирать
crop;урожай
survival;выживание
dimension;измерение, размерность
resist;сопротивляться
darkness;темнота
guarantee;гарантировать
historic;исторический
educator;преподаватель
rough;шероховатый, грубый
personnel;персонал
confront;противостоять
terrorist;террорист
royal;королевский
elite;элита
occupy;занимать
emphasis;акцент, выделение
wet;мокрый
destruction;разрушение
raw;сырой
inner;внутренний
proceed;продолжать
violate;нарушать
chart;график
pace;темп
finance;финансы
champion;чемпион
snap;щелчок, хватка
advise;советовать, совет
initially;первоначально
advanced;продвинутый
unlikely;маловероятный
barrier;барьер
advocate;сторонник, адвокат
label;ярлык, метка
horrible;жуткий
burden;обуза, бремя
violation;нарушение
unlike;в отличие от, неравный
idiot;идиот
lifetime;время жизни
ongoing;непрерывный
react;реагировать
routine;рутина, распорядок, монотонный
presentation;презентация
gear;механическая передача, шестерня
Mexican;мексиканский
stadium;стадион
translate;переводить
mortgage;ипотека
sheriff;шериф
clinic;клиника
spin;вращаться
coalition; коалиция
naturally;естественно
hopefully;с надеждой
menu;меню
smooth;гладкий, плавный
advertising;реклама
interpret;интерпретировать
dismiss;отвергать, отпускать
apparent;очевидный, кажущийся
arrangement;расстановка, приготовление
incorporate;объединять, включать
split;разделять
brilliant;блестящий, великолепный
storage;хранение, склад, хранилище
framework;фреймворк, рамки
honestly;честно
chase;преследовать
sigh;вздыхать
assure;гарантировать, уверять
utility;полезность, утилита
aggressive;агрессивный
cookie;файлы ку́ки
terror;ужас, террор
wealthy;богатый, состоятельный
update;обновлять
forum;форум
alliance;альянс
possess;обладать, владеть 
empire;империя
curious;любопытный
corn;кукуруза
calculate;вычислять, рассчитывать
hurry;торопиться, спешка
testimony;свидетельство
elementary;элементарный
stake;ставка, доля
precisely;точно
bite;кусать
given;данный
substantial;существенный
depending;в зависимости
glance;взглянуть мельком
tissue;ткань, бумажная салфетка
concentration;концентрация
developer;разработчик
found;основывать
ballot;избирательный бюллетень
consume;поглощать, потреблять
overcome;преодолевать
biological;биологический
chamber;комната
similarly;подобным образом
dare;сметь, осмеливаться
developing;развивающийся
tiger;тигр
ratio;соотношение
lover;возлюбленный, любовник
expansion;расширение
encounter;сталкиваться
occasionally;время от времени
unemployment;безработица
pet;питомец
awful;ужасный
laboratory;лаборатория
administrator;администратор
quarterback;квотербек, защитник
rocket;ракета,взмывать
preparation;подготовка
relative;родственник, родственный, относительный
confident;уверенный
strategic;стратегический
marine;морской
publisher;издатель
innovation;инновация
highlight;выделять, выделять цветом
nut;орех
fighter;боец, истребитель, воин
rank;классифицировать, звание, ранг
electricity;электричество, заряд
instance;случай, пример, образец
fortune;везение, целое состояние
freeze;замерзать, замораживать
variation;разновидность
armed;вооружённый
negotiate;вести переговоры
laughter;смех
wisdom;мудрость
correspondent;корреспондент, соответствующий
mixture;смесь
assistant;помощник
retain;сохранять, сдерживать
tomato;помидор
testify;свидетельствовать
ingredient;ингредиент
galaxy;галактика
qualify;квалифицировать, заслуживать, подходить
scheme;схема
shame;стыд
concentrate;концентрировать
contest;конкурс
introduction;знакомство, введение
boundary;граница, предел
tube;труба
versus; против
chef;повар
regularly;регулярно
ugly;уродливый
