screw;винт, закручивать
tongue;язык
Palestinian;палестинец, палестинский
fiscal;финансовый
creek;ручей
hip;бедро
accompany;сопровождать
terrorism;терроризм
respondent;респондент, ответчик
narrator;рассказчик
voting;голосование
refugee;беженец
assembly;сборка, собрание, агрегат
fraud;мошенничество, мошенник
limitation;ограничение
partnership;партнёрство
crash;крушение, авария
representation;представление, изображение
ministry;министерство
flat;ровный, плоский
wise;мудрый
register;регистрироваться
comedy;комедия
tap;кран, нажмите
infrastructure;инфраструктура
organic;натуральный, органический
Islam;ислам
diverse;разнообразный
intellectual;интеллектуальный
tight;тугой, обтягивающий
port;порт
fate;судьба
absolute;абсолютный
dialogue;диалог
frequency;частота
tribe;племя
external;внешний
appointment;назначение, встреча, приём
convert;конвертировать
surprising;удивительный
mobile;подвижный, мобильный
establishment;учреждение, установление
worried;обеспокоенный
bye;пока
shopping;поход по магазинам, покупки
celebrity;знаменитость
congressman;конгрессмен
impress;впечатлять
taxpayer;налогоплательщик
adapt;адаптироваться, адаптировать
publicly;публично
pride;гордость
clothing;одежда
rapidly;стремительно
domain;поле деятельности, область определения
mainly;в основном
ceiling;потолокк
alter;изменять
shelter;приют, убежище
random;случайный
obligation;долг, обязательство
shower;душ
beg;умолять
asleep;спящий
musician;музыкант
extraordinary;экстраординарный
dirt;земля, грязь
PC;ПК - персональный компьютер
bell;колокол
ceremony;церемония
clue;ключ к разгадке
guideline;инструкция
comfort;комфорт, утешение
pregnancy;беременность
borrow;одолжить
conventional;общепринятый, традиционный
tourist;турист
incentive;стимул
custom;обычай, изготовленный на заказ
cheek;щека, наглость
tournament;турнир
satellite;спутник, сателлит
nearby;ближайший, неподалёку
comprehensive;всесторонний
stable;стабильный, конюшня
medication;медикамент, лекарства
script;сценарий, подлинник
educate;обучать, просвещать
efficient;действенный
scare;пугать
psychology;психология 
logic;логика
economics;экономика
nevertheless;несмотря ни на что
devil;дьявол
thirty;тридцать
charity;благотворительность
fiber;волокно, нить
ideal;идеальный
friendship;дружба
net;сеть
motivation;мотивация
differently;иначе
reserve;бронировать, резерв, резервировать
observer;наблюдатель
humanity;человечность
survivor;выживший
fence;забор, фехтовать
quietly;тихо, спокойно
humor;шутка
funeral;похороны
spokesman;представитель, оратор
extension;продление, расширение
loose;свободный, свободно
sink;раковина, тонуть
historian;историк
ruin;разрушать, испортить, разорение, руины
chemical;химикат, химический
singer;певец
drunk;пьяный
swim;плавать,
onion;лук
specialist;специалист
missing;недостающий, отсутствующий
pan;cковорода, кастрюля
distribute;распределять, распространять
silly;глупый
deck;палуба, колода
reflection;размышление, отображение
shortly;кратко
database;база данных
remote;удаленный
permission;разрешение
remarkable;замечательный
everyday;ежедневный
lifestyle;образ жизни
sweep;подметать
naked;обнаженный
sufficient;достаточный
lion;лев
consumption;потребление
capability;возможность
emission;эмиссия, выделение
sidebar;боковая колонка
dealer;торговец, дилер
measurement;измерение
vital;жизненно важный
impressive;впечатляющий
bake;печь
fantastic;фантастический
adviser;советник
yield;урожай, доходность, уступать, давать
mere;всего лишь
imagination;воображение
radical;радикальный
tragedy;трагедия
scary;страшный
consultant;консультант
lieutenant;лейтенант
upset;огорчать, огорченный
attractive;привлекательный
acre;акр
drawing;рисунок, рисование
defeat;поражение
newly;недавно
scandal;скандал
ambassador;посол
bench;скамейка
counter;прилавок, стойка, счётчик, предотвращать
odds;шансы
rat;крыса
horror;ужас
vulnerable;уязвимый
prevention;предотвращение
segment;сегмент
ban;запрещать, 
tail;хвост
constitute;составлять
badly;плохо
bless;благословлять
literary;литературный
magic;магия, магический
implementation;реализация
legitimate;законный
slight;слабый, легкий
strip;полоска, стриптиз, раздеваться
desperate;отчаявшийся
distant;далекий
preference;предпочтение
politically;политически
feedback;обратная связь
health-care;здравоохранение
Italian;итальянский
detailed;подробный, детальный
buyer;покупатель
cooperation;сотрудни
incredibly;невероятно
orange;апельсин
killing;убийство
sue;подавать в суд
