red;красный;She's wearing red.;Она одета в красное.
hair;волосы;My hair curls easily.;У меня слегка вьются волосы.
condition;условие, состояние;She's in good physical condition.;Она в хорошей физической форме.
wall;стена;We're building a wall.;Мы строим стену.
daughter;дочь;Bring your daughter.;Приводи свою дочь.
deal;сделка, справляться;Deal with it.;Разбирайся с этим.
author;автор;Who's the author of this story?;Кто автор этого рассказа?
truth;правда;Does truth matter?;Имеет ли правда значение?
upon;на;Science rests upon observation.;Наука основывается на наблюдении.
husband;муж;My husband is jealous.;У меня ревнивый муж.
period;период, точка;Which period of history are you studying?;Какой период истории ты изучаешь?
series;ряд, серия;They gave a series of concerts.;Они дали серию концертов.
order;заказывать, приказ;It's an order.;Это приказ.
officer;офицер;She's a police officer.;Она офицер полиции.
close;закрывать, близко;Close the window.;Закройте окно.
land;земля;They cultivated the land.;Они возделывали землю.
note;заметка;I wrote the note.;Я писал заметку.
computer;компьютер;Reboot the computer.;Перезагрузи компьютер.
thought;мысль;Everybody thought so.;Все так подумали.
economy;экономика;The Japanese economy developed rapidly.;Японская экономика развилась стремительно.
goal;цель;She achieved her goal.;Она достигла своей цели.
bank;банк, банка;I'm a bank employee.;Я банковский служащий.
behavior;поведение;Tom's behavior was unacceptable.;Поведение Тома было неприемлемым.
sound;звук, крепкий;Does this sound stupid?;Это звучит глупо?
certainly;конечно;That's certainly possible.;Это, определённо, возможно.
nearly;почти, близко;It's nearly dawn.;Уже почти рассвело.
increase;возрастать, увеличивать;They demanded a salary increase.;Они требовали повысить зарплату.
act;действовать, исполнять роль, играть;Act. Don't talk.;Делай. Не говори.
north;север ;Head north.;Двигайся на север.
blood;кровь;Blood flows through blood vessels.;Кровь течёт по кровеносным сосудам.
culture;культура;This country has a rich culture.;У этой страны богатая культура.
medical;медицинский;Do you have medical insurance?;У тебя есть медицинская страховка?
everybody;все;Everybody knows everybody.;Каждый знает каждого.
top;вершина, лучший;We climbed to the top.;Мы вскарабкались на вершину.
difficult;сложный;It was difficult.;Это было трудно.
language;язык;Choose a language.;Выберите язык.
window;окно ;Don't open the window.;Не открывайте окно.
response;ответ;Thanks for your response.;Спасибо тебе за ответ.
population;население;The population is increasing.;Население увеличивается.
lie;лежать, лгать, ложь;You wouldn't lie.;Ты бы не солгал.
tree;дерево;That's a lemon tree.;Это - лимонное дерево.
park;парковаться, парк;The parking was transformed into a park.;Парковку переделали в парк.
worker;работник, рабочий;We need more workers.;Нам нужно больше рабочих.
draw;рисовать, привлекать;Draw a straight line.;Нарисуй прямую линию.
drop;капать, ронять, капля;Drop your weapons!;Бросайте оружие!
push;толкать;Push harder.;Толкай сильнее.
Earth;земля;We live on Earth.;Мы живём на Земле.
private;персональный, частный, рядовой солдат;This is private property.;Это частная собственность.
tonight;сегодня вечером;Wait until tonight.;Подожди до вечера.
race;гонка;It was a tough race.;Это была тяжёлая гонка.
letter;письмо, буква;I received your letter.;Я получил твоё письмо.
gun;пистолет, оружие, орудие;Is your gun loaded?;У тебя ружьё заряжено?
simple;простой;That's too simple.;Это слишком просто.
wonder;удивляться, интересоваться, чудо;I wonder what happened.;Интересно, что случилось.
involve;вовлекать;I didn't want to involve her.;Я не хотел её вмешивать.
hell;ад;War is hell.;Война - это ад.
poor;бедный;Poor girl.;Бедная девочка.
answer;ответ, отвечать;Answer the question.;Ответь на вопрос.
nature;природа;He's good by nature.;Он от природы добрый.
administration;администрация;The administration approved the budget.;Администрация утвердила бюджет.
common;общий;We have common tastes.;У нас общие вкусы.
message;сообщение;Please leave a message.;Пожалуйста, оставьте сообщение.
song;песня;Please sing a song.;Пожалуйста, спой песню.
enjoy;наслаждаться;I enjoy poker.;Я обожаю покер.
similar;похожий, подобный;Something similar happened to me.;Нечто подобное случилось со мной.
congress;конгресс;The Library of Congress has a Youtube channel.;У Библиотеки Конгресса США есть канал на YouTube.
attack;атаковать, атака;Bears can attack people.;Медведи могут нападать на людей.
past;прошлое;Future needs past.;Будущее нуждается в прошлом.
hot;горячий;Yesterday was hot.;Вчера было жарко.
seek;искать;He decided to seek information elsewhere.;Он решил искать информацию в другом месте.
amount;количество, сумма;This amount includes tax.;В эту сумму включены налоги.
analysis;анализ;She persists in saying that her analysis is correct.;Она настаивает, что её анализ правильный.
store;магазин, запас, склад, хранить;The store was closed.;Магазин был закрыт.
defense;оборона;Attack is the best form of defense.;Наступление - лучшая защита.
bill;счёт;The bill, please.;Счет, пожалуйста.
cell;ячейка, мобильный телефон;Do you have a cell phone?;У тебя есть мобильный телефон?
performance;выступление, выполнение, производительность;His performance was amazing.;Его выступление было потрясающим.
hospital;больница;The hospital is crowded.;Больница переполнена.
bed;кровать;Make your bed.;Застели свою постель.
board;доска, совет, правление;Don't erase the board.;Не стирай с доски.
protect;защищать;Tom will protect you.;Том тебя защитит.
century;век;A century is one hundred years.;Век — это сто лет.
summer;лето;Summer has ended.;Лето закончилось.
material;материал, материальный;This material stretches easily.;Этот материал легко тянется.
individual;личный, личность;He's a rather rare individual.;Он довольно редкий индивидуум.
recently;недавно;They moved here recently.;Они переехали сюда недавно.
example;пример;Give me another example.;Приведи мне другой пример.
represent;представлять;I represent an American firm.;Я представляю американскую фирму.
fill;наполнять;Fill the bucket with water.;Наполни ведро водой.
animal;животное, животный;Is this animal holy?;Это животное священно?
fail;потерпеть неудачу, провал;We can't fail again.;Мы не можем потерпеть неудачу снова.
factor;фактор;Health is an important factor of happiness.;Здоровье - важный фактор счастья.
natural;естественный, природный;It's completely natural.;Это совершенно естественно.
sir;сэр;Your table is ready, sir.;Ваш столик готов, сэр.
agency;агентство;Tom started an advertising agency.;Том основал рекламное агентство.
usually;обычно;We usually win.;Мы обычно побеждаем.
significant;значительный;This product has significant shortcomings.;У этого продукта есть существенные недостатки.
ability;способность;He overestimated his ability.;Он переоценил свои возможности.
mile;миля;The bridge is approximately a mile long.;Мост примерно в милю длинной.
statement;высказывание, утверждение;I have a brief statement.;У меня короткое заявление.
entire;полный, весь;The entire town was under water.;Весь город был под водой.
democrat;демократ;Democrats and Republicans worked together.;Демократы и республиканцы работали вместе.
floor;пол, этаж;Sweep the floor.;Подмети пол.
serious;серьёзный;It's nothing serious.;Ничего серьёзного.
career;карьера;His political career has ended.;Его политическая карьера закончилась.
dollar;доллар;How much is the dollar now?;Сколько сейчас стоит доллар?
vote;голос, голосование;Everybody should vote.;Все должны голосовать.
compare;сравнивать;Don't compare yourself to them.;Не сравнивай себя с ними.
south;юг;I'm from South Korea.;Я из Южной Кореи.
forward;дальше, вперед;Take another step forward.;Сделай ещё шаг вперёд.
subject;тема, подчиненный;Change the subject.;Смени тему.
financial;финансовый;Will I receive financial aid?;Я получу финансовую помощь?
identify;идентифицировать;Can you identify the problem areas?;Ты можешь определить проблемные места?
beautiful;красивый;That is beautiful.;Это красиво.
decade;десятилетие;I've been working here for many decades.;Я уже много десятков лет работаю здесь.
bit;кусочек, частица;Wait a bit.;Подожди чуть-чуть.
reduce;сокращать;That would reduce costs.;Это сократило бы расходы.
sister;сестра;She's his sister.;Она его сестра.
quality;качество;The quality of translation has improved.;Качество перевода улучшилось.
quickly;быстро;Squirrels move quickly.;Белки быстро двигаются.
press;нажимать;Press the button.;Нажми на кнопку.
worry;беспокоиться;Don't worry.;Не волнуйся.
accept;принимать;I accept your apology.;Я принимаю ваши извинения.
enter;ввод;Enter your password.;Введите пароль.
