be off;уходить;I must be off now.;А сейчас мне надо уходить.
pay back;расплачиваться;You should pay back your debts.;Ты должен расплатиться с долгами.
let in;впускать;Let in some fresh air.;Впусти немного свежего воздуха.
give away;отдавать;We're giving this away for free.;Мы отдаём это даром.
get away with something;избежать наказания за что-то;You won't get away with this.;Это не сойдёт тебе с рук.
calm down;успокаивать, успокаиваться;Why don't you just calm down?;Почему бы тебе просто не успокоиться?
call for;призывать;I call for a vote!;Я призываю голосовать!
care for;заботиться о;Mammals care for their young.;Млекопитающие заботятся о своих детёнышах.
take after;быть похожим на;I take after Grandma!;Я похож на бабушку!
come in;входить;Come in and sit down.;Входи и садись.
come back;возвращаться;When is she coming back?;Когда она возвращается?
give in;сдаваться;Don't ever give in.;Никогда не сдавайся.
find out;узнать;I must find out who did this.;Я должен выяснить, кто это сделал.
try out;проверять;Try it out yourself.;Проверь сам.
turn away;отклонять, отворачиваться;Why do you turn away?;Почему ты отворачиваешься?
come out;публично заявить, выходить;You wait for me to come out.;Подождите, пока я сам к вам выйду.
cheer up;приободрять;The flowers cheered her up.;Цветы подбодрили его.
get away;уходить;Get away from me.;Уйди от меня!
run into;натыкаться;Just ran into Regan.;Только что наткнулся на Регану.
look back;оглядываться, вспоминать прошлое;Don't look back.;Не оглядывайся.
stand up for;отстаивать, вступиться;Stand up for Nathan.;Вступитесь за Натана.
set off;отправляться;He set off to Paris.;Он отправился в Париж.
hit on;приударить за;Mark hits on everything that moves.;Марк клеится ко всему
call back;перезванивать;Let me call you back.;Давай я тебе перезвоню.
come along;идти с кем-либо;Come along with us if you like.;Пойдём с нами, если хочешь.
check in;регистрироваться  в;Can I check in now?;Я могу зарегистрироваться сейчас?
check up;проверить;Check up on the accuracy of this article.;Проверь точность его статьи.
stick to;придерживаться;You must stick to your promise.;Ты должен держать обещание.
pass away;умереть;He passed away.;Он умер.
turn into;превращаться;And some turn into diamonds.;А некоторые превращаются в бриллианты.
run out of;израсходовать;We have run out of gas.;У нас бензин закончился.
carry on;продолжать;We carried on talking.;Мы продолжили говорить.
hold up;задержать, держаться;How're you holding up?;Как вы держитесь?
look into;исследовать;What are you looking for?;Что вы ищете?
break down;ломаться, ломать;Why not break the door down?;Почему бы не выломать дверь?
stand up to;давать отпор, противостоять;Tom never stands up to his father.;Том никогда не дает отпор своему отцу.
look for;искать;What are you looking for?;Что вы ищете?
look out;берегись;Look out for pickpockets.;Остерегайся карманников.
count on;рассчитывать на;I am counting on you.;Я на тебя рассчитываю.
put on;надевать, поставить;Put it on.;Надевай это.
check out;выселяться, проверить;Check this out.;Проверь это.
show off;хвастаться;What, so you can show off your tats?;Это, типа, чтобы хвастаться татухами?
break out;вырываться, разразиться;If war does break out, we can lose everything overnight.;Если разразится война, мы можем всё потерять в одночасье
bring up;воспитывать, упоминать;How do you bring up your children?;Как ты воспитываешь своих детей?
put up;мириться, выставить;Why do you put up with that?;Почему ты это терпишь?
break up;расставаться;He will break up with her.;Он с ней расстанется.
throw away;выкидывать;Just throw it away.;Просто выброси его.
help out;выручить;Can you help me out?;Ты можешь меня выручить?
spread out;рассредоточиваться;We spread out and began to search through the woods.;Мы разошлись и начали прочёсывать лес.
fill out;заполнять (форму);Fill this out.;Заполните это.
bump into;случайно встретить;I bumped into him in London.;Я наткнулся на него в Лондоне.
take out;вытащить, вынести;Take the garbage out.;Вынеси мусор.
let out;выпускать;Let me out!;Выпустите меня!
hang around;бездельничать, болтаться без дела;Is Tom still hanging around the office?;Том всё ещё околачивается в офисе?
hang up on someone;бросить трубку, не дав договорить;Why did Tom hang up on me?;Почему Том бросил трубку?
break off;прервать;We break off all this messy fighting.;Мы прервем эту грязную борьбу и немного поговорим.
grow up;взрослеть, расти;What will you do when you grow up?;Что ты будешь делать, когда вырастешь?
make up;придумывать;You must make up for the loss.;Вы должны возместить ущерб.
break into;проникнуть в;I hope nobody breaks into my apartment.;Надеюсь, никто не вломится в мою квартиру.
give back;отдавать;Give it back to him.;Верни его ему.
try on;попробовать, примерять;Maybe you should try on the red one again?;Может быть еще раз примеришь этот красный?
come up;подниматься, появиться;Nobody has come up yet.;Никто ещё не появился.
live up to;соответствовать;He did not live up to expectations.;Он не жил согласно ожиданиям.
stand out;выделяться;He stands out among the painters of his time.;Он выделялся среди прочих художников своего времени.
move in;въезжать;We just moved in.;Мы только въехали.
pass out;терять сознание;Tom almost passed out from the heat.;Том чуть не упал в обморок от жары.
catch up;нагнать;I will soon catch up with you.;Я догоню тебя скоро.
hang on;подождать, держаться;Hang on, you're doing just fine.;Держись, все идет нормально.
go out;выходить, выходить в свет;Don't go out into the open.;Не выходи на открытое место.
lie down;лечь;Lie down on the ground.;Ляг на землю.
call on;призывать, навещать;I often call on him.;Я часто к нему захожу.
get over;преодолевать, пережить;I got over that.;Я с этим справился.
see off;провожать;Could you see me off?;Не могли бы вы проводить меня?
fall behind;отставать от;We read newspapers so that we may not fall behind the times.;Мы читаем газеты, чтобы не отставать от времени.
work out;тренироваться;I like working out.;Мне нравится заниматься физическими упражнениями.
get up;вставать;When did you get up?;Когда ты встал?
go down;опускаться;The sun is going down.;Солнце садится.
go ahead;вперед, продолжать;Go ahead with your story.;Рассказывай дальше.
burst out;разражаться;Suddenly the poor child burst out crying.;Девушка разразилась слезами.
write down;записывать;Write down his address.;Запиши его адрес.
make up for;компенсировать ;You must make up for the loss.;Вы должны возместить ущерб.
look forward to;ждать с нетерпением;I am looking forward to seeing you.;Я с нетерпением жду с тобой встречи.
point out;указывать, обращать внимание;I would like to point out that not all of us are like that.;Я бы хотел отметить, что мы не все такие.
hang up;повесить телефонную трубку;Why did you hang up?;Почему ты повесил трубку?
carry out;выполнять;We must carry out that plan.;Мы должны осуществить этот план.
hold back;сдерживаться;She could not hold back her tears.;Она не смогла сдержать слёз.
show up;появляться;He showed up when we least expected it.;Он появился, когда мы меньше всего этого ожидали.
be after;преследовать, охотиться;Lester was after your inheritance.;Лестер охотился за вашим наследством.
go through;проходить через, преодолеть;You will have to go through hardship.;Ты должен будешь преодолеть тяжелое испытание.
go up;подниматься, увеличиваться;Go up the stairs.;Поднимайтесь по лестнице.
put away;убирать;Put away your toys.;Убери свои игрушки.
turn over;переворачивать;Please turn over the page.;Пожалуйста, переверните страницу.
get on with;ладить;I did not get on with Polya.;Я не ладил с Полей.
put down;откладывать, положить;I said put it down!;Я сказал, положи!
figure out;понимать, выяснять;I just figured out who you are.;Я только что понял, кто ты есть.
move on;двигаться дальше;Can we move on?;Мы можем двигаться дальше?
pull up;подтягиваться, останавливаться, парковаться;I pulled up to the house.;Я подъехал к дому.
pull away;оторваться;Captain, we pulled away a little.;Капитан, мы немного оторвались.
walk up;подойти ближе;Tom walked up to the house.;Том подошёл к дому.
keep away;держаться подальше;Keep away from her.;Держись от неё подальше.
turn to;повернуть;He turned to me and frowned.;Он повернулся ко мне и нахмурил брови.
fall apart;разваливаться на части;My life is falling apart.;Моя жизнь разваливается на части.
